Symbol,Strategy,Avg_Fill,IS_Bps,Spread_Bps,Slippage_Bps,Impact_Bps,Total_Shares,Date
AAPL,AC_Aggressive,269.70375153993604,8.674446809442404,4.11784531755271,0.0,0.04537222554909554,7825,2026-02-03
AAPL,AC_Balanced,269.53973189776366,2.5876972109939445,4.586994850587645,0.0,0.05801519487084146,7825,2026-02-03
AAPL,AC_Urgent,269.4843000638977,0.53062838645479,5.00404827424288,0.0,0.07975044101513842,7825,2026-02-03
AAPL,TWAP,275.89367603833875,46.56285524954118,4.139399721360199,0.0,0.042569037606728234,7825,2026-02-04
AAPL,VWAP,276.1829956677316,57.09831906911988,4.58838149214921,0.0,0.04059078148342665,7825,2026-02-04
AAPL,AC_Aggressive,275.9750716677315,49.52684601069013,4.283150207467925,0.0,0.04192916412515599,7825,2026-02-04
AAPL,AC_Balanced,276.25654431948874,59.77656513625584,4.769616930202492,0.0,0.05142814412677038,7825,2026-02-04
AAPL,AC_Urgent,276.3884713482427,64.58063750832022,5.28542476057409,0.0,0.06733795836776427,7825,2026-02-04
AAPL,TWAP,275.40488658146967,-33.118149916496755,4.038702994043929,0.0,0.05110525975858733,7825,2026-02-05
AAPL,VWAP,275.6382770607028,-24.671766265409456,4.8001713644468245,0.0,0.04853380958422114,7825,2026-02-05
AAPL,AC_Aggressive,275.3101936485623,-36.545079939563905,4.25681376781904,0.0,0.04987364612298571,7825,2026-02-05
AAPL,AC_Balanced,275.2038419936101,-40.393938224638774,5.039279231371678,0.0,0.05998000029718239,7825,2026-02-05
AAPL,AC_Urgent,275.3125529201278,-36.45969808146576,5.860501443953886,0.0,0.07881633531501733,7825,2026-02-05
AAPL,TWAP,278.6492669009584,4.2820565893886275,3.580596412407388,0.0,0.051065905445914175,7825,2026-02-06
AAPL,VWAP,278.90032879233223,13.29587529739662,4.049718364491108,0.0,0.04868921053443205,7825,2026-02-06
AAPL,AC_Aggressive,278.854293456869,11.643078985870137,3.7002340954293844,0.0,0.05021295644203746,7825,2026-02-06
AAPL,AC_Balanced,279.3827111437703,30.61474053820179,4.178119536470819,0.0,0.06023223960266166,7825,2026-02-06
AAPL,AC_Urgent,279.56819384025545,37.27408413846334,4.752908059599465,0.0,0.07865758984131083,7825,2026-02-06
AAPL,TWAP,273.26499265175727,-57.30620386841467,3.455975361109019,0.0,0.053612372571280015,7825,2026-02-09
AAPL,VWAP,273.6196254313101,-44.402958915782385,3.9834271809373156,0.0,0.051522280509332,7825,2026-02-09
AAPL,AC_Aggressive,273.340365776358,-54.56376733788626,3.6116511836316265,0.0,0.05311902714801667,7825,2026-02-09
AAPL,AC_Balanced,273.6961513610224,-41.61857779469646,4.204363163827475,0.0,0.06705033933004874,7825,2026-02-09
AAPL,AC_Urgent,274.1120580958466,-26.485891855023702,4.963910523716026,0.0,0.08768575548262864,7825,2026-02-09
AAPL,TWAP,274.07807444089457,-9.547346376481691,3.2677904606335413,0.0,0.06314312144535748,7825,2026-02-10
AAPL,VWAP,274.1274342364216,-7.748126569456781,3.6809109125241593,0.0,0.060708699072132145,7825,2026-02-10
AAPL,AC_Aggressive,274.12851129712453,-7.70886650102609,3.365498094149993,0.0,0.06198180973898537,7825,2026-02-10
AAPL,AC_Balanced,274.311758594249,-1.0292973689063345,3.740979562545379,0.0,0.07681380521539803,7825,2026-02-10
AAPL,AC_Urgent,274.4357105814696,3.488891333989219,4.2087184651144485,0.0,0.09994081775999299,7825,2026-02-10
AAPL,TWAP,278.17666325878594,121.4039792371846,3.8116862459053698,0.0,0.05399598234901093,7825,2026-02-11
AAPL,VWAP,277.23671736741227,87.20423015051715,4.863102523946293,0.0,0.05101824051084383,7825,2026-02-11
AAPL,AC_Aggressive,278.1047888434504,118.78884256518506,3.9049150464304234,0.0,0.05250246161436225,7825,2026-02-11
